pod,CPU(m),MEMORY(Mi)
ai-prediction-7b6c54f4c9-7zkmv,0.0015330969391523755,120.265625
ai-prediction-7b6c54f4c9-6zfvf,0.0015166352407407406,172.3984375
ai-prediction-7b6c54f4c9-fgc5k,0.0015758777127109855,120.62109375
my-nginx-5b584c864b-vrlxm,0.0,26.58203125
kube-proxy-8qcpv,0.0007324771202477961,50.8671875
ai-prediction-7b6c54f4c9-ww4s4,0.0016294834290980448,132.23828125
coredns-668d6bf9bc-hmppb,0.002187761143652744,48.359375
etcd-minikube,0.02528873979976623,150.19921875
kube-controller-manager-minikube,0.018850171487001823,110.93359375
metrics-server-8467fcc7b7-ljv6z,0.003463162622889067,48.90625
kube-scheduler-minikube,0.008116414619007625,55.74609375
kube-apiserver-minikube,0.050720796600224105,512.5703125
prometheus-prometheus-kube-prometheus-prometheus-0,0.014736174581521584,237.203125
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0017264639395864303,46.578125
prometheus-grafana-68589f687c-xbp7f,0.016393656200183737,305.3203125
prometheus-prometheus-node-exporter-9r6zb,0.0012071288033425932,17.47265625
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0011734439640647292,35.91796875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.000973866431027692,44.328125
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-prediction-7b6c54f4c9-hwsvl,0.0016481569852038365,120.2109375
storage-provisioner,0.001777969192773581,25.93359375
ai-prediction-7b6c54f4c9-7zkmv,0.0016594753435207857,120.265625
ai-prediction-7b6c54f4c9-6zfvf,0.0016808641722053526,172.3984375
ai-prediction-7b6c54f4c9-fgc5k,0.001571074940523475,120.62109375
my-nginx-5b584c864b-vrlxm,0.0,26.58203125
kube-proxy-8qcpv,0.0007122928676566157,51.48828125
ai-prediction-7b6c54f4c9-ww4s4,0.0016814737641648939,132.23828125
coredns-668d6bf9bc-hmppb,0.002192290370896041,48.24609375
etcd-minikube,0.02615376594568466,150.44921875
kube-controller-manager-minikube,0.019293995410504847,111.01953125
metrics-server-8467fcc7b7-ljv6z,0.0036024528101050147,48.9453125
kube-scheduler-minikube,0.008261003940450849,55.6484375
kube-apiserver-minikube,0.05078796563347973,512.61328125
prometheus-prometheus-kube-prometheus-prometheus-0,0.013732809526935275,240.66015625
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0017825113520325057,46.17578125
prometheus-grafana-68589f687c-xbp7f,0.0169148732963854,305.9140625
prometheus-prometheus-node-exporter-9r6zb,0.0011309407601555565,18.7109375
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012846232804269498,35.921875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0009085802082820619,45.15625
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-prediction-7b6c54f4c9-hwsvl,0.0015394549009137564,120.20703125
storage-provisioner,0.0016295306013762061,25.9140625
ai-prediction-7b6c54f4c9-7zkmv,0.0016315828849110534,120.2578125
ai-prediction-7b6c54f4c9-6zfvf,0.0016568322345072734,170.7265625
ai-prediction-7b6c54f4c9-fgc5k,0.0015967385652618479,120.61328125
my-nginx-5b584c864b-vrlxm,0.0,26.453125
kube-proxy-8qcpv,0.0007003606370797995,51.08203125
ai-prediction-7b6c54f4c9-ww4s4,0.0016016702567968441,131.92578125
coredns-668d6bf9bc-hmppb,0.002180638805570339,47.69921875
etcd-minikube,0.02594419815499712,149.203125
kube-controller-manager-minikube,0.01886341126874096,110.1484375
metrics-server-8467fcc7b7-ljv6z,0.00342872098315886,48.32421875
kube-scheduler-minikube,0.00805671976027896,54.9375
kube-apiserver-minikube,0.05258600099913024,511.45703125
prometheus-prometheus-kube-prometheus-prometheus-0,0.014603785706100783,242.09765625
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0017220389420925092,46.34765625
prometheus-grafana-68589f687c-xbp7f,0.016962254237756855,304.96875
prometheus-prometheus-node-exporter-9r6zb,0.0012006455535289872,16.73046875
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012032414757071773,35.63671875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0009240292925813183,44.05859375
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-prediction-7b6c54f4c9-hwsvl,0.0015734753655859818,120.17578125
storage-provisioner,0.0016031620747648406,24.85546875
ai-prediction-7b6c54f4c9-7zkmv,0.0016070608292745071,120.2109375
ai-prediction-7b6c54f4c9-6zfvf,0.001619253781911788,156.0625
ai-prediction-7b6c54f4c9-fgc5k,0.0014779708771929833,120.59375
my-nginx-5b584c864b-vrlxm,0.0,26.11328125
kube-proxy-8qcpv,0.0005625677805472422,48.46484375
ai-prediction-7b6c54f4c9-ww4s4,0.0016064040069133387,126.84375
coredns-668d6bf9bc-hmppb,0.0020830198526188303,46.109375
etcd-minikube,0.02562897679595255,147.5859375
kube-controller-manager-minikube,0.01844502092374458,107.28125
metrics-server-8467fcc7b7-ljv6z,0.003249863131930201,47.28125
kube-scheduler-minikube,0.007824515243556363,50.3125
kube-apiserver-minikube,0.0571093711142746,602.8359375
prometheus-prometheus-kube-prometheus-prometheus-0,0.01535166491337299,241.6328125
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0017631853287216452,44.98828125
prometheus-grafana-68589f687c-xbp7f,0.01714749409042453,302.7265625
prometheus-prometheus-node-exporter-9r6zb,0.001198457851674954,16.64453125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0011995787411198608,35.21875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0008579335566340836,44.625
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.0,0.49609375
ai-prediction-7b6c54f4c9-hwsvl,0.0015463543591347168,120.15625
storage-provisioner,0.0015988253727673358,25.03125
ai-prediction-7b6c54f4c9-7zkmv,0.0015700630409157354,119.43359375
ai-prediction-7b6c54f4c9-6zfvf,0.0015713195307779405,144.11328125
ai-prediction-7b6c54f4c9-fgc5k,0.0015540382562433308,118.45703125
my-nginx-5b584c864b-vrlxm,0.0,25.5234375
kube-proxy-8qcpv,0.0007141838898763666,44.1328125
ai-prediction-7b6c54f4c9-ww4s4,0.0015527242227936324,124.8359375
coredns-668d6bf9bc-hmppb,0.002104981571372427,44.36328125
etcd-minikube,0.02406970827749183,140.81640625
kube-controller-manager-minikube,0.018100032834871996,99.21484375
metrics-server-8467fcc7b7-ljv6z,0.003316165848854773,44.2734375
kube-scheduler-minikube,0.007804944539640232,47.8359375
kube-apiserver-minikube,0.05595396806928615,591.9921875
prometheus-prometheus-kube-prometheus-prometheus-0,0.014200483209398788,246.9609375
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0017272171404620435,44.22265625
prometheus-grafana-68589f687c-xbp7f,0.01628134076343591,295.1875
prometheus-prometheus-node-exporter-9r6zb,0.0012735520805570073,17.5703125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012269672163676452,33.8046875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0009140949234025509,49.9765625
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.009770763080805503,138.171875
ai-prediction-7b6c54f4c9-hwsvl,0.0016033770313538377,120.2265625
storage-provisioner,0.0017428712490888628,24.984375
ai-prediction-7b6c54f4c9-7zkmv,0.0016130459666026686,119.42578125
ai-prediction-7b6c54f4c9-6zfvf,0.001593802848397594,144.1171875
ai-prediction-7b6c54f4c9-fgc5k,0.0015913685228371582,118.453125
my-nginx-5b584c864b-vrlxm,0.0,25.5234375
kube-proxy-8qcpv,0.0007726281589581548,44.46484375
ai-prediction-7b6c54f4c9-ww4s4,0.0015943007376666217,124.83203125
coredns-668d6bf9bc-hmppb,0.002085079991703738,44.38671875
etcd-minikube,0.025547871751361976,141.2734375
kube-controller-manager-minikube,0.01834385376365141,99.4296875
metrics-server-8467fcc7b7-ljv6z,0.0034998752406457325,45.1015625
kube-scheduler-minikube,0.007885888842967781,48.203125
kube-apiserver-minikube,0.05713754698071451,593.60546875
